Figure Panel,Bar,"Correlation Ratio
Data Set 1","Correlation Ratio
Data Set 2","Correlation Ratio
Data Set 3","Correlation Ratio
Data Set 4","Correlation Ratio
Data Set 5"
,"MPP-PRS
(Aux: EUR+EAS+AMR, Tar: SAS)",0.7041,0.6771,0.6009,0.7297,0.6762
,"MPP-PRS+
(Aux: EUR+EAS+AMR, Tar: SAS)",0.7112,0.7358,0.7660,0.7428,0.7292
,"MPP-GWAS-Admix
(Aux: EUR+EAS+AMR, Tar: SAS)",0.7125,0.7193,0.7493,0.7676,0.7030
,"PRS-CSx
(Aux: EUR+EAS+AMR+AFR, Tar: SAS)",0.5910,0.5852,0.5957,0.6003,0.5735
,"PROSPER
(Aux: EUR+EAS+AMR+AFR, Tar: SAS)",0.6967,0.7211,0.7254,0.7429,0.7037
,"SBayesRC-Multi
(Aux: EUR+EAS+AMR+AFR, Tar: SAS)",0.6272,0.5804,0.5788,0.5893,0.6567
,"MPP-GWAS
(Aux: EUR+EAS+AMR+AFR, Tar: SAS)",0.7277,0.7326,0.7588,0.7794,0.7189
,"MPP-GWAS-TarSS
(Aux: EUR+EAS+AMR+AFR, Tar: SAS)",0.6423,0.6537,0.6545,0.6486,0.6938
,"MPP-PRS
(Aux: EUR+EAS+AMR+AFR, Tar: SAS)",0.7044,0.6763,0.6015,0.7311,0.6783
,"MPP-PRS+
(Aux: EUR+EAS+AMR+AFR, Tar: SAS)",0.7357,0.7334,0.7647,0.7479,0.7288
,"MPP-GWAS-Admix
(Aux: EUR+EAS+AMR+AFR, Tar: SAS)",0.7181,0.7231,0.7517,0.7680,0.7012
Main Text Figure 2c,"Baseline GWAS
(Aux: NA, Tar: SAS)",0.6196,0.5681,0.6687,0.6776,0.5695
,"Lassosum2-ExtLD
(Aux: NA, Tar: SAS)",0.5609,0.5451,0.5838,0.5513,0.5715
,"Lassosum-TrueLD
(Aux: NA, Tar: SAS)",0.3890,0.4749,0.4248,0.5056,0.3315
,"SBayesRC(O)
(Aux: NA, Tar: SAS)",0.5625,0.5032,0.5462,0.5915,0.4789
