,SET 1.1.3,0.5084,0.5044,0.5092,0.5355,SET 1.2.3,0.6229,0.6181,0.6206,0.6171,,SET 2.1.3,0.6780,0.5362,0.3161,0.2925,SET 2.2.3,0.6412,0.6333,0.6306,0.6259
,SET 1.1.4,0.5265,0.4977,0.4879,0.4994,SET 1.2.4,0.6208,0.6196,0.6298,0.6256,,SET 2.1.4,0.4817,0.2845,0.2748,0.2720,SET 2.2.4,0.5679,0.5820,0.5821,0.5774
,SET 1.1.5,0.5407,0.5940,0.5555,0.5353,SET 1.2.5,0.5785,0.5851,0.5755,0.5808,,SET 2.1.5,0.1005,0.1156,0.1391,0.1246,SET 2.2.5,0.6205,0.6006,0.5897,0.5869
,AVERAGE,0.5317,0.5301,0.5099,0.5124,AVERAGE,0.5897,0.5900,0.5911,0.5922,,AVERAGE,0.4503,0.3822,0.3325,0.3188,AVERAGE,0.6103,0.6079,0.6052,0.6027
,STD DEV,0.0145,0.0521,0.0374,0.0288,STD DEV,0.0304,0.0280,0.0318,0.0272,,STD DEV,0.2118,0.1779,0.1481,0.1510,STD DEV,0.0268,0.0203,0.0214,0.0216
,"Admix Weighing
#Tar: 100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","Admix Weighing
#Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR",,"Admix Weighing
#Tar: 100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","Admix Weighing
#Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR"
,SET 1.1.1,0.5424,0.5745,0.5398,0.5538,SET 1.2.1,0.5566,0.5584,0.5696,0.5661,,SET 2.1.1,0.4905,0.5066,0.4973,0.5060,SET 2.2.1,0.6137,0.6147,0.6145,0.6144
,SET 1.1.2,0.5403,0.5194,0.4864,0.5132,SET 1.2.2,0.5695,0.5694,0.5697,0.5696,,SET 2.1.2,0.5010,0.5196,0.4442,0.4592,SET 2.2.2,0.6078,0.5984,0.5941,0.5961
,SET 1.1.3,0.5084,0.5146,0.5126,0.5405,SET 1.2.3,0.6229,0.6218,0.6245,0.6224,,SET 2.1.3,0.6780,0.6249,0.4477,0.4860,SET 2.2.3,0.6412,0.6398,0.6387,0.6382
,SET 1.1.4,0.5265,0.5197,0.5059,0.5227,SET 1.2.4,0.6208,0.6087,0.6162,0.6154,,SET 2.1.4,0.4817,0.2918,0.2812,0.2818,SET 2.2.4,0.5679,0.5760,0.5777,0.5710
,SET 1.1.5,0.5407,0.5932,0.5566,0.5771,SET 1.2.5,0.5784,0.5832,0.5811,0.5824,,SET 2.1.5,0.1005,0.1159,0.1913,0.1775,SET 2.2.5,0.6205,0.6124,0.6077,0.6077
,AVERAGE,0.5317,0.5443,0.5203,0.5414,AVERAGE,0.5897,0.5883,0.5922,0.5912,,AVERAGE,0.4503,0.4117,0.3723,0.3821,AVERAGE,0.6102,0.6082,0.6065,0.6055
,STD DEV,0.0145,0.0368,0.0279,0.0253,STD DEV,0.0304,0.0266,0.0263,0.0261,,STD DEV,0.2118,0.2049,0.1299,0.1449,STD DEV,0.0268,0.0234,0.0228,0.0246
,,,,,,,,,,,,,,,,,,,,,
MPP-PRS,"Sample Weighing
#Tar: 100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","Sample Weighing
#Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR",MPP-PRS,"Genetic Dist Weighing
#Tar: 100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","Genetic Dist Weighing
#Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR"
