,,MultiPopPred-PRS,,MultiPopPred-PRS+,,"MultiPopPred-GWAS-
Admixture",,"MultiPopPred-GWAS-
TarSS",,MultiPopPred-GWAS,,"Baseline GWAS
(Target Pop.)",,PRS-CSx,,PROSPER,,"Lassosum2
(ExtLD)",,Lassosum-TrueLD,,TL-Multi,
,,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD
,EurEasAmr,0.5618862089,0.04932864252,0.6266457303,0.01217382632,0.653632758,0.01333594709,0.5673396502,0.03772441971,0.6588591013,0.01216202847,0.5308778535,0.03745302183,0.5311197321,0.04538840261,0.6305275227,0.03452178477,0.5152383624,0.04728804007,0.589644352,0.009763034526,--,--
,EurEasAfr,0.5649269683,0.04571728969,0.6271759617,0.008008480665,0.6549921377,0.01694608671,0.5696304784,0.03893728603,0.6635675576,0.0201556408,0.5308778535,0.03745302183,0.53042535,0.04489862751,0.625650674,0.02854420161,0.5152383624,0.04728804007,0.589644352,0.009763034526,--,--
,EurAmrAfr,0.564877904,0.04668747779,0.6226028479,0.008661972279,0.63760782,0.01447832519,0.5646226098,0.03780812207,0.6549184316,0.01445358715,0.5308778535,0.03745302183,0.5319359533,0.04561013823,0.6319736247,0.03235973782,0.5152383624,0.04728804007,0.589644352,0.009763034526,--,--
,EasAmrAfr,0.5621147466,0.04906526495,0.6135137389,0.03344314666,0.6298643185,0.01424880891,0.5636521933,0.03536850868,0.6552551865,0.01770316344,0.5308778535,0.03745302183,0.5304138068,0.04616890544,0.6281784552,0.02918079039,0.5152383624,0.04728804007,0.589644352,0.009763034526,--,--
,EurEasAmrAfr,0.5637995164,0.04750502518,0.626851956,0.008677472948,0.6578106274,0.01634127867,0.5672211856,0.03748406868,0.6633373112,0.0174813785,0.5308778535,0.03745302183,0.5278198006,0.04581269921,0.6472049607,0.02908434832,0.5152383624,0.04728804007,0.589644352,0.009763034526,--,--
"Heritability
0.7",EurOnly,0.6761352187,0.04180170972,0.7188565842,0.0188457594,--,--,0.6570402101,0.01737319014,0.7213292582,0.01855950995,0.6286325841,0.01611293281,0.6078317107,0.009548950678,0.6558105372,0.02140823235,0.5662045905,0.01492456692,0.7023172631,0.0198634614,0.4289562615,0.05209486086
,EasOnly,0.6746293661,0.04446815929,0.7084732762,0.01347871497,--,--,0.6517969964,0.01861405105,0.7210434722,0.02588804453,0.6286325841,0.01611293281,0.6063424702,0.01184272868,0.6487122859,0.02738983583,0.5662045905,0.01492456692,0.7023172631,0.0198634614,0.4175085213,0.04322719986
,AmrOnly,0.6719440855,0.04096486555,0.7149147934,0.01662855103,--,--,0.6536784126,0.01705477929,0.7193099532,0.01975840631,0.6286325841,0.01611293281,0.6053023247,0.009118237958,0.6522514726,0.01661926604,0.5662045905,0.01492456692,0.7023172631,0.0198634614,--,--
,AfrOnly,0.6723934739,0.04368578552,0.7088394227,0.01498433734,--,--,0.6526447176,0.01866961369,0.7122703696,0.02340196851,0.6286325841,0.01611293281,0.6050580505,0.007808901188,0.6409826378,0.02235695232,0.5662045905,0.01492456692,0.7023172631,0.0198634614,0.436816204,0.04444579138
,EurAmr,0.6781190576,0.0414235818,0.7348810511,0.01825883607,0.7236273795,0.02074534619,0.658219428,0.01784611738,0.7309182882,0.0217863618,0.6286325841,0.01611293281,0.5958322776,0.00907924006,0.6925141917,0.01428044685,0.5662045905,0.01492456692,0.7023172631,0.0198634614,--,--
,EurEas,0.678735262,0.04385964674,0.7317260701,0.01305306104,0.7275572602,0.02314167322,0.6576370164,0.01790397147,0.729891252,0.02489322446,0.6286325841,0.01611293281,0.5981782542,0.01103171296,0.6853167331,0.0203467162,0.5662045905,0.01492456692,0.7023172631,0.0198634614,--,--
,EurAfr,0.6783184227,0.04329103059,0.7362620365,0.01420130229,0.7247760437,0.01751171342,0.658200098,0.01844891608,0.7342697442,0.02225260326,0.6286325841,0.01611293281,0.5964541972,0.008224128944,0.6817341401,0.01630074912,0.5662045905,0.01492456692,0.7023172631,0.0198634614,--,--
,EasAmr,0.6738187941,0.04316361109,0.733401059,0.0138611609,0.7234275286,0.02038553668,0.6556416701,0.01762089988,0.7331412212,0.02626511801,0.6286325841,0.01611293281,0.5964360268,0.01043107165,0.684568695,0.02031656693,0.5662045905,0.01492456692,0.7023172631,0.0198634614,--,--
,EasAfr,0.6746169315,0.04451980511,0.7312054805,0.01175163854,0.7323994048,0.02834692121,0.6557707821,0.01801218402,0.7319547879,0.02612964948,0.6286325841,0.01611293281,0.5961706367,0.008601383685,0.6734909685,0.021673922,0.5662045905,0.01492456692,0.7023172631,0.0198634614,--,--
,AmrAfr,0.6732519966,0.04248799908,0.7306455716,0.009810362256,0.7202878549,0.02021489358,0.6561972974,0.01838031402,0.7275205878,0.02232417145,0.6286325841,0.01611293281,0.5952988308,0.007891021193,0.6751535077,0.0148614582,0.5662045905,0.01492456692,0.7023172631,0.0198634614,--,--
