,,,Baseline GWAS,PROSPER,"Lassosum2-
ExtLD",PRSCSX,TL-Multi,SBayesRC,"SBayesRC-
multi","Lassosum-
TrueLD",MultiPopPred-GWAS,MultiPopPred-GWAS-TarSS,"MultiPopPred-GWAS-
Admixture",MultiPopPred-PRS,MultiPopPred-PRS+
,Data Set 2,Training R2,0.840511259,0.755457003,0.819804683,0.790219353,0.0000000802,0.736683762,0.4248715350,0.766146607,0.766146300,0.855618118,0.766146332,0.5490125,0.367903300
,,Validation R2,0.019518935,0.054559704,0.020539984,0.010903426,0.0012739290,0.016292330,0.0500016210,0.023275899,0.023275870,0.019931314,0.023275866,0.006501117,0.012519360
,,Testing R2,0.006735517,0.013209520,0.006479052,0.007735396,0.0045932940,0.007305965,0.0348334720,0.006277719,0.006277738,0.006227863,0.006277737,0.009017098,0.010220390
,Data Set 3,Training R2,0.841052506,0.619703692,0.819005880,0.791604139,0.0000061057,0.760915884,0.4104133510,0.766136590,0.766136300,0.858107496,0.766136293,0.4863994,0.372093500
,,Validation R2,0.020263661,0.059232883,0.020387481,0.009243647,0.0019857450,0.014015217,0.0521218220,0.023659272,0.023659250,0.020619551,0.023659249,0.005107526,0.012425370
,,Testing R2,0.006772417,0.007221018,0.005233004,0.005652219,0.0051853290,0.003663458,0.0311756920,0.006201836,0.006201851,0.006054955,0.006201851,0.006984297,0.009806786
,Average,Training R2,0.840585149,0.702234150,0.827511740,0.790073930,0.0000021374,0.716404029,0.3441041940,0.766108629,0.766108333,0.855278608,0.766108344,0.516251300,0.366997600
,,Validation R2,0.019988596,0.059967746,0.020285589,0.009492730,0.0015754140,0.011491586,0.0452713730,0.023616117,0.023616090,0.020386474,0.023616091,0.004410387,0.012419813
,,Testing R2,0.006763836,0.011411771,0.005952168,0.006566660,0.0049054320,0.004710214,0.0336243260,0.006211890,0.006211905,0.006097162,0.006211904,0.005754187,0.010152335
,Standard Deviation,Training R2,0.000435143,0.072466835,0.014046477,0.001607859,0.0000034374,0.057404368,0.1275769650,0.000057324,0.000057318,0.003013023,0.000057323,0.031407771,0.005603913
,,Validation R2,0.000408723,0.005810432,0.000317836,0.001304118,0.0003681790,0.006444468,0.0100850490,0.000320824,0.000320825,0.000394219,0.000320830,0.002512904,0.000102438
,,Testing R2,0.000025152,0.003641482,0.000644894,0.001064615,0.0002973320,0.002261969,0.0021206330,0.000061422,0.000061426,0.000115532,0.000061426,0.004021629,0.000317048
TG,Data Set 1,Training R2,0.809245212,0.579225830,0.768131898,0.773666533,0.0004645140,0.181330850,0.1863655960,0.817621887,0.722829100,0.813577007,0.722829046,0.4635516,0.690977400
,,Validation R2,0.029422419,0.109676567,0.029147892,0.017672499,0.0001343070,0.039774328,0.0657700690,0.030112346,0.034224040,0.033386214,0.034224041,0.02575478,0.036890970
,,Testing R2,0.019689260,0.047092237,0.016529771,0.012080642,0.0018927090,0.015586076,0.0507198440,0.023985752,0.023273390,0.019575476,0.023273381,0.01816929,0.025569050
,Data Set 2,Training R2,0.701342799,0.301924231,0.659377022,0.697617014,0.0001998570,0.585768042,0.4255992640,0.586462769,0.586462800,0.713479864,0.586462764,0.5218719,0.818174329
,,Validation R2,0.014040167,0.061651833,0.013074438,0.006765638,0.0002094370,0.024057547,0.0442717940,0.012655638,0.012655620,0.013624408,0.012655621,2.69E-02,0.017814080
,,Testing R2,0.020238054,0.049563914,0.022412808,0.019818589,0.0017865020,0.045256157,0.0540768480,0.021831456,0.021831470,0.022275055,0.021831467,0.03614971,0.028614850
,Data Set 3,Training R2,0.831522589,0.525580595,0.789916057,0.793363333,0.0003076800,0.275594913,0.1240989130,0.745202372,0.745202400,0.848415254,0.745202406,0.5304272,0.708049900
,,Validation R2,0.044453318,0.168132826,0.041512630,0.027208813,0.0007373520,0.042899738,0.0859448760,0.049221548,0.049221480,0.043340135,0.049221470,0.03000676,0.052221570
,,Testing R2,0.014444196,0.031969974,0.011359679,0.005259860,0.0019945210,0.015740821,0.0524134800,0.016956158,0.016956130,0.017372429,0.016956128,1.35E-02,0.017020780
,Average,Training R2,0.780703533,0.468910219,0.739141659,0.754882294,0.0003240170,0.347564602,0.2453545910,0.716429009,0.684831433,0.791824042,0.684831405,0.505283567,0.862538965
,,Validation R2,0.029305301,0.113153742,0.027911653,0.017215650,0.0003603650,0.035577204,0.0653289130,0.030663177,0.032033713,0.030116919,0.032033710,0.027558587,0.035602322
,,Testing R2,0.018123836,0.042875375,0.016767419,0.012386364,0.0018912440,0.025527685,0.0524033910,0.020924455,0.020686997,0.019740987,0.020686992,0.022596190,0.022697603
,Standard Deviation,Training R2,0.069625175,0.147080566,0.069931648,0.050561597,0.0001330830,0.211605973,0.1591709500,0.118235207,0.085921081,0.070048437,0.085921092,0.036393215,0.038903474
,,Validation R2,0.015206913,0.053325589,0.014259345,0.010229241,0.0003286340,0.010097966,0.0208400430,0.018289177,0.018381068,0.015125221,0.018381063,0.002198008,0.015722754
,,Testing R2,0.003198454,0.009524869,0.005530395,0.007284178,0.0001040170,0.017085533,0.0016785240,0.003601498,0.003310485,0.002455500,0.003310482,0.011970600,0.006694491
