,,,Baseline GWAS,PROSPER,Lassosum2-ExtLD,PRSCSX,TL-Multi,Lassosum-TrueLD,MultiPopPred-GWAS-Vanilla,MultiPopPred-GWAS-ExtLD,MultiPopPred-GWAS-Admixture,MultiPopPred-PRS-Vanilla,MultiPopPred-PRS-Vanilla-TrueLD
,,Validation R2,--,0.4739001,0.05218411,0.03714287037,0.01849094773,0.05081413738,0.05081414834,0.0375761547,0.05081414801,0.05092972434,0.05131003787
,,Testing R2,0.03238448,0.02764365,0.02801937,0.02921587341,0.02221817002,0.03457485893,0.0345748325,0.03198915834,0.03457483431,0.03041604233,0.03469037502
,Data Set 3,Training R2,0.8655786,0.7402132,0.8331971,0.798987347,0.01178319764,0.8188324673,0.8188323332,0.8741376299,0.8188323482,0.646693427,0.8172130163
,,Validation R2,--,0.4558022,0.05149377,0.04141969723,0.02451449016,0.05240006133,0.05240006545,0.03791673517,0.05240006522,0.02455998473,0.05275899691
,,Testing R2,0.03195962,0.0257294,0.02782655,0.03297336391,0.02239039944,0.03455283785,0.03455281522,0.03196312818,0.03455281657,0.02070081017,0.03465175798
,Average,Training R2,0.8647413667,0.7149041,0.8291585667,0.7962099294,0.0113047391,0.8178034232,0.8178032886,0.8716044124,0.8178033038,0.6603432514,0.8161829965
,,Validation R2,--,0.4822215,0.05445129333,0.039656316,0.0209192777,0.05186851106,0.05186851892,0.03795623111,0.05186851843,0.03357960444,0.05232415085
,,Testing R2,0.03301616667,0.03042117,0.02832898667,0.03116358291,0.02272012079,0.03474371208,0.03474368774,0.03284460096,0.03474368938,0.03052349188,0.03480973268
,Standard Deviation,Training R2,0.0007615677536,0.02195042785,0.007444078002,0.002410525415,0.0006642830706,0.0009317406159,0.0009317412858,0.002455488505,0.0009317411938,0.04265154908,0.0009220647313
,,Validation R2,--,0.03141768091,0.00453787529,0.002234895852,0.003176787197,0.0009131248226,0.0009131221161,0.0004012847874,0.0009131219917,0.0150295947,0.0008812112079
,,Testing R2,0.001477404936,0.006539021952,0.0007098364954,0.001882538685,0.000725378958,0.000311727555,0.000311727835,0.001504269157,0.0003117279324,0.009876844854,0.0002409517546
TG,Data Set 1,Training R2,0.8273759,0.6833572,0.7729118,0.778433232,0.01274576918,0.8494696914,0.7569699841,0.8303134469,0.7569699831,0.5965838989,0.9005011889
