"Area under PR Curve
(Average Precision)",,,Baseline GWAS,PROSPER,"Lassosum2-
ExtLD",PRSCSX,TL-Multi,SBayesRC,"SBayesRC-
multi","Random
Classifier","Lassosum-
TrueLD",MultiPopPred-GWAS,MultiPopPred-GWAS-TarSS,MultiPopPred-GWAS-Admixture,MultiPopPred-PRS,MultiPopPred-PRS+,,Area under ROC,,,Baseline GWAS,PROSPER,"Lassosum2-
ExtLD",PRSCSX,TL-Multi,SBayesRC,"SBayesRC-
multi","Random
Classifier","Lassosum-
TrueLD",MultiPopPred-GWAS,MultiPopPred-GWAS-TarSS,MultiPopPred-GWAS-Admixture,MultiPopPred-PRS,MultiPopPred-PRS+
,,Testing R2,0.479615034,0.453170283,0.470520993,0.444793387,0.428741895,0.484929825,0.480308885,0.386782137,0.4469683891,0.4469250681,NA,0.4469650731,0.4381133186,0.4705780209,,,,Testing R2,0.608349667,0.573863732,0.591529711,0.557558928,0.531529041,0.593948418,0.606640867,0.491141881,0.5698304602,0.5698220837,NA,0.5698346484,0.5502797742,0.595232112
,Data Set 3,Training R2,0.984093643,0.794107610,0.783148459,0.731585157,0.449184560,0.957358927,0.914554626,0.393763023,0.7877244375,0.7876276592,NA,0.7876416104,0.5883488552,0.9400442358,,,Data Set 3,Training R2,0.992167002,0.856353269,0.847063337,0.810252313,0.560539021,0.972323987,0.942386283,0.499342625,0.8530713349,0.8529977734,NA,0.8530053115,0.6907494745,0.9625414791
,,Validation R2,0.533822729,0.619880053,0.526832843,0.510165355,0.509912233,0.447125259,0.457073855,0.384844518,0.5153213304,0.5152729699,NA,0.5152866786,0.5049258379,0.5256582375,,,,Validation R2,0.638165720,0.704951333,0.628637483,0.610946374,0.602662043,0.552876481,0.587253522,0.488218492,0.6173501868,0.6173250574,NA,0.6173250574,0.607738185,0.6288594596
,,Testing R2,0.478140329,0.443216728,0.466899238,0.444645463,0.418162816,0.477573493,0.456651861,0.38448317,0.4460601751,0.4460356305,NA,0.4460565767,0.4350865391,0.4694697724,,,,Testing R2,0.608894138,0.570479637,0.578692768,0.558497093,0.525812099,0.588493240,0.582457992,0.487774539,0.5705298956,0.5705089544,NA,0.5705340839,0.5420959609,0.5945661825
,Average,Training R2,0.988699849,0.855597673,0.902734720,0.793348494,0.455080182,0.950807094,0.917910664,0.390956924,0.8296901179,0.8296246753,NA,0.8296348775,0.6258536635,0.9555090235,,,Average,Training R2,0.994294523,0.898646833,0.932618331,0.851793540,0.567681590,0.967351352,0.944211976,0.495728495,0.8800131631,0.8799649019,NA,0.8799706638,0.7199756944,0.9713694635
,,Validation R2,0.536891378,0.599751727,0.522324547,0.504348392,0.496790199,0.444690881,0.454363228,0.397428389,0.5100972726,0.5100775671,NA,0.5100855467,0.4993140456,0.5223962997,,,,Validation R2,0.641089109,0.693468585,0.627854283,0.608260318,0.596199595,0.559993690,0.579378242,0.504125413,0.6153747354,0.6153551903,NA,0.6153565864,0.6036448823,0.6263269728
,,Testing R2,0.496347771,0.467074331,0.479294332,0.458255190,0.439534167,0.480990834,0.471592519,0.388325006,0.4628246631,0.4627929971,NA,0.4628120645,0.4505710096,0.4782066013,,,,Testing R2,0.622098250,0.586526165,0.597010716,0.573654320,0.546637405,0.587055977,0.588603530,0.492853473,0.5858351064,0.5858197495,NA,0.5858267299,0.5588433209,0.6059302631
,Standard Deviation,Training R2,0.007462161,0.116506053,0.107255756,0.096104117,0.005108436,0.012437270,0.009726063,0.00318593,0.0745256274,0.07459657651,NA,0.07458026244,0.1152429658,0.02691372041,,,Standard Deviation,Training R2,0.003350159,0.081992368,0.076082653,0.064203470,0.007446482,0.008749514,0.006498053,0.00412396,0.04838189055,0.048433559,NA,0.04842422097,0.09622833168,0.01564946666
,,Validation R2,0.003686364,0.030649593,0.007422761,0.011380840,0.019434317,0.003062441,0.003701479,0.011420862,0.009346448149,0.009341950178,NA,0.009378170824,0.02004588111,0.00661225391,,,,Validation R2,0.004649063,0.013213575,0.001112345,0.005633304,0.009995893,0.006646820,0.008089068,0.014435449,0.003345701644,0.003325238777,NA,0.003322820975,0.01118539339,0.004317663797
,,Testing R2,0.030268065,0.033079073,0.018421623,0.023444750,0.028352307,0.003705805,0.012998847,0.004802874,0.0282540581,0.02825783449,NA,0.02823822902,0.02424589943,0.01418368849,,,,Testing R2,0.023343306,0.024920201,0.021586788,0.027069625,0.031250477,0.007712179,0.015882821,0.006117041,0.02711738659,0.02711609736,NA,0.02709562569,0.02229854703,0.01910935407
